Username,IPAddress,Timestamp,Success
jsmith,192.168.10.5,2024-01-15 08:05:33,0
jsmith,192.168.10.5,2024-01-15 08:05:35,0
jsmith,192.168.10.5,2024-01-15 08:05:37,0
jsmith,192.168.10.5,2024-01-15 08:05:39,0
jsmith,192.168.10.5,2024-01-15 08:05:41,0
jsmith,192.168.10.5,2024-01-15 08:05:43,0
jsmith,192.168.10.5,2024-01-15 08:05:50,1
administrator,192.168.10.250,2024-01-15 10:30:01,0
administrator,192.168.10.250,2024-01-15 10:30:02,0
administrator,192.168.10.250,2024-01-15 10:30:03,0
administrator,192.168.10.250,2024-01-15 10:30:04,0
administrator,192.168.10.250,2024-01-15 10:30:05,0
administrator,192.168.10.250,2024-01-15 10:30:06,0
administrator,192.168.10.250,2024-01-15 10:30:07,0
administrator,192.168.10.250,2024-01-15 10:30:08,0
bwilliams,192.168.10.8,2024-01-15 11:00:00,1
bwilliams,192.168.10.8,2024-01-15 12:30:00,1
mlopez,192.168.10.15,2024-01-15 13:00:00,0
mlopez,192.168.10.15,2024-01-15 13:00:05,0
mlopez,192.168.10.15,2024-01-15 13:00:10,1
